Tu cosa prendi?|<img src='f94032b1573e4f069882beb65c1fdb1c.png'/>|What will you have?|[sound:770973f99b53425cbb17de68ab1964e0.mp3]
Per me un caffè freddo!|<img src='ce3bdf99b85e42d4b54c6b7ba1664746.png'/>|I'll have (lit. for me) an iced coffee!|[sound:da47f411572a408c955a6524ed60f1ad.mp3]
Una pizzetta è una pizza piccola.|<img src='18c91504d8a348ec86dee6ce1e1a3df6.png'/>|A pizzetta is a small pizza.|[sound:b479eb1c80ff4fc1a2f7133dd58e2eb2.mp3]
Vai sempre dritto.|<img src='ba92f9ad624ca47b16965f19bfbba496.png'/>|You go straight ahead.|[sound:10c1f97e0c19496b82511b68c7665003.mp3]
Ti piacciono le lasagne?|<img src='e9efdcf04fa94d28ab73457b1f234f38.png'/>|Do you like lasagna?|[sound:a743bd976f134063866eeae7ad1387c6.mp3]
quattro|<img src='9490b6a1cc577c543e38b29117e4cb7b.png'/>|four|[sound:775a18ecfe49d5b915efe86f86105685.mp3]
Laura fa la giornalista.|<img src='7ef31bd4366b44529560f338f368f667.png'/>|Laura is a journalist.|[sound:84f6907299454890849ad14a01cbf0cb.mp3]
Faccio l'insegnante.|<img src='39970be14eed5c36efe70b392e5bed82.png'/>|I'm a teacher.|[sound:5321f500cc394e6b9b4c6e7fab695640.mp3]
Ho una famiglia grande.|<img src='f22eeb5486fa47f9845e3e7a8fb90308.png'/>|I have a big family.|[sound:401f5e6f929b453c91aa083cc7748793.mp3]
cinque|<img src='8364f486389baf408543a4a772135847.png'/>|five|[sound:194f674e6a35c02cd9ad7a1c260af2cd.mp3]
Stefania ha due padri.|<img src='42d3be061862252cb69e834a20f6074c.png'/>|Stefania has two fathers.|[sound:5cf302649af042e7a296739973e2238a.mp3]
Hai fratelli o sorelle?|<img src='6e2e46233740892b773bb4c8b9dc0a41.png'/>|Do you have brothers or sisters?|[sound:39711ff791174d178017b30046f56481.mp3]
Ho un fratello.|<img src='9a133939d08a04667993b6c250434eb3.png'/>|I have a brother.|[sound:9829baaae0dc438da9575474c0fd3d84.mp3]
sei|<img src='0c30a582438b3dd364dc22e525329b34.png'/>|six|[sound:d1e30971e93c3d7019529ead61b25320.mp3]
il bar|<img src='fa5b8a5869234ee94e442501da9d4c9c.png'/>|the bar, café|[sound:f0cce51705f1843329d4f0db1c415ca5.mp3]
il cane|<img src='a001097d8fb75b5d7e4dd34d3c130668.png'/>|the dog|[sound:87a97b984498f2488d40a794b7197408.mp3]
la ragazza|<img src='b271eb5406e86f39f37482e9a870e4e9.png'/>|the girl|[sound:3238f680f44966dad401f5a9d6c2df1c.mp3]
il ragazzo|<img src='35e37d75a94a5d4775fa3c910afa7e17.png'/>|the boy|[sound:c161d880abcb6b708d4cd814a1005127.mp3]
impiegato|<img src='8a8b5455669f46a0e113b78bb5193cd3.png'/>|employee|[sound:7e58ff3c077c40c78de7df3e8c5f7942.mp3]
sì|<img src='b232fc51d7f3491a97c69bf09e3b5a4a.png'/>|yes|[sound:229128dd5fd64496ac30551d72f227b4.mp3]
Come si pronuncia questa parola?|<img src='372b1630f7ed6b38ed1aecf1c5e1e873.png'/>|How do you pronounce this word?|[sound:d689fd30354746278fa3e69e199b3c1a.mp3]
Questo è Luca.|<img src='c84e819b22214752854cd30089f3a6b3.png'/>|This is Luca.|[sound:94e2361ab343408fb8bf0957a13204c1.mp3]
Arrivederci!|<img src='755e919c0b05b2664b48ea4e1cf00b71.png'/>|Goodbye!|[sound:430b6fbbc681adc7f4a18398a5ac026a.mp3]
Ciao!|<img src='aa03eff67c505889774e43c55a68c804.png'/>|Hi/Bye!|[sound:505bcfd03f4e4e8ebd9db0c78bfa969c.mp3]
Che lavoro fai?|<img src='15454e2c52eb0666c8a07b11b26ebdc2.png'/>|What do you do?|[sound:e8e18aed2e47d0f0d735f03972d3d3d5.mp3]
informatico|<img src='ee098477f20d75509987ade6553c8d9b.png'/>|IT specialist|[sound:ace28e1f9efb4288affb085600628fdd.mp3]
commesso|<img src='492d78e0bb4e49e29bbb2fe84117b11e.png'/>|sales assistant|[sound:437760a8f394482bb50fabdf838084f0.mp3]
Marcello lavora come commesso.|<img src='3ead6a33a9f54dfa966037cb70b61e6b.png'/>|Marcello works as a sales assistant.|[sound:feb6d422861d487b8decbd7c5f3afde4.mp3]
Come sta?|<img src='499330e6b4d06213d16135951a219b65.png'/>|How are you (formal)?|[sound:9bd9002f22df6bf83bec4bf5ce689db9.mp3]
Che lingue parli?|<img src='9a7e17fee0274c36b6b414b5ee02275f.png'/>|Which languages do you speak?|[sound:f2c3a936c4a842f8b3110c43b0707ac8.mp3]
Abito a Potsdam.|<img src='466aeca905037a6031a8af298b8af701.png'/>|I live in Potsdam.|[sound:bff63fd8a1f547f5ac33b7eaefcfc3fb.mp3]
Parlo inglese, italiano, francese e tedesco.|<img src='bb51538826f4ca87af0b8f6dc46a8188.png'/>|I speak English, Italian, French and German.|[sound:7f33a7ae569947a7856214b0950904da.mp3]
no|<img src='e6ab721d273e4596bcf9787aa359dd50.png'/>|no|[sound:05aa6c2ca68b4426b1be9492fae17f03.mp3]
